station_id,station_name,city,state,latitude,longitude,date,groundwater_level_mbgl,monthly_rainfall_mm,monthly_avg_temp_c,estimated_population
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2014-01-01,12.85,6.1,15.1,3325600
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2014-07-01,12.6,245.5,32.4,3342100
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2014-11-01,12.41,3.2,20.3,3353133
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2018-01-01,15.42,7.5,14.9,3665400
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2018-07-01,15.15,280.1,33.1,3686850
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2018-11-01,14.95,1.8,21,3701067
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2023-01-01,18.25,5.2,14.5,4107500
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2023-07-01,17.9,295.3,32.8,4139625
CGWB-JPR-01,Piezometer-MalviyaNagar,Jaipur,Rajasthan,26.85,75.8,2023-11-01,17.76,4.1,20.8,4160750
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2014-01-01,7.21,0.8,25.4,12945100
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2014-07-01,6.45,868.3,28.1,13038258
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2014-11-01,6.88,6.2,28.5,13099842
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2018-01-01,8.15,0.2,25,13833400
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2018-07-01,7.3,910.5,27.9,13925208
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2018-11-01,7.82,3.5,28.9,13987858
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2023-01-01,9.5,0.5,25.1,14854200
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2023-07-01,8.62,944.2,28,14960075
CGWB-MUM-01,Piezometer-Andheri,Mumbai,Maharashtra,19.11,72.86,2023-11-01,9.15,2.1,29.1,15027525
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2014-01-01,6.05,10.1,20.1,4531200
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2014-07-01,5.4,390.4,29.5,4554900
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2014-11-01,5.75,15.6,24.2,4570700
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2018-01-01,6.55,12.3,19.5,4789300
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2018-07-01,5.95,415.7,29.9,4813225
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2018-11-01,6.2,20.1,23.8,4829142
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2023-01-01,7.1,11.3,19.8,5105600
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2023-07-01,6.48,421.2,30.1,5137400
CGWB-KOL-01,Piezometer-SaltLake,Kolkata,West Bengal,22.58,88.41,2023-11-01,6.85,18.9,24,5158867
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2014-01-01,22.1,21.2,14.2,17798200
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2014-07-01,21.65,210.5,34.1,17976185
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2014-11-01,21.8,0.5,19.5,18094823
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2018-01-01,23.65,18.5,13.5,19134500
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2018-07-01,23.2,235.1,33.8,19325825
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2018-11-01,23.4,1.2,18.9,19453958
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2023-01-01,25.45,19.7,13.9,20591800
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2023-07-01,24.95,250.6,34.5,20789785
CGWB-DEL-01,Piezometer-Chanakyapuri,Delhi,NCT of Delhi,28.59,77.18,2023-11-01,25.15,0.8,19.2,20921242
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2014-01-01,28.5,4.3,21.5,9855400
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2014-07-01,28.1,110.2,24.1,10012350
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2014-11-01,27.85,180.5,22.3,10118308
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2018-01-01,30.1,2.1,22,11254100
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2018-07-01,29.75,125.8,24.5,11432658
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2018-11-01,29.4,195.2,22.8,11551408
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2023-01-01,32.4,1.5,22.4,13193000
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2023-07-01,31.95,130.4,24.8,13388625
CGWB-BLR-01,Piezometer-Koramangala,Bengaluru,Karnataka,12.97,77.59,2023-11-01,31.6,210.6,23.1,13519875
CGWB-AMD-01,Piezometer-Maninagar,Ahmedabad,Gujarat,23.02,72.57,2014-01-01,45.2,2.1,20.4,6410200
